query	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
ZymoMock_26939	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_27040	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_27112	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_27214	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_27217	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_27261	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_27299	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_27364	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_27391	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_27460	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_27560	Pseudomonas_aeruginosa	98.664	449	6	0	1	449	771	323	0	797
ZymoMock_27674	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_27801	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_28020	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_28063	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_28172	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_28578	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_28613	Escherichia_coli	99.301	429	3	0	1	429	786	358	0	776
ZymoMock_28840	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_29038	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_29221	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_29286	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_29322	Listeria_monocytogenes	99.109	449	3	1	1	448	794	346	0	806
ZymoMock_29555	Lactobacillus_fermentum	98.368	429	7	0	1	429	812	384	0	754
ZymoMock_29792	Bacillus_subtilis	99.333	450	3	0	1	450	794	345	0	815
ZymoMock_29898	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_29960	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_30064	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_30165	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_30225	Enterococcus_faecalis	99.301	429	3	0	1	429	802	374	0	776
ZymoMock_30236	Salmonella_enterica	99.068	429	4	0	1	429	781	353	0	771
ZymoMock_30262	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_30300	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_30343	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_30345	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_30613	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_30683	Listeria_monocytogenes	98.834	429	5	0	1	429	794	366	0	765
ZymoMock_30806	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_30860	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_31420	Escherichia_coli	99.534	429	2	0	1	429	786	358	0	782
ZymoMock_31452	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_31471	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_31643	Enterococcus_faecalis	99.555	449	2	0	1	449	802	354	0	819
ZymoMock_31669	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_31695	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_31697	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_31709	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_31754	Lactobacillus_fermentum	99.068	429	4	0	1	429	812	384	0	771
ZymoMock_31959	Enterococcus_faecalis	99.068	429	4	0	1	429	802	374	0	771
ZymoMock_32644	Salmonella_enterica	99.301	429	3	0	1	429	781	353	0	776
ZymoMock_32680	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_32859	Escherichia_coli	98.601	429	6	0	1	429	786	358	0	760
ZymoMock_33232	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_33239	Enterococcus_faecalis	99.068	429	4	0	1	429	802	374	0	771
ZymoMock_33456	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_33498	Bacillus_subtilis	99.333	450	2	1	1	449	794	345	0	813
ZymoMock_33522	Salmonella_enterica	98.368	429	7	0	1	429	781	353	0	754
ZymoMock_33800	Bacillus_subtilis	99.07	430	4	0	1	430	794	365	0	773
ZymoMock_33864	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_34136	Salmonella_enterica	99.534	429	2	0	1	429	781	353	0	782
ZymoMock_34213	Salmonella_enterica	98.834	429	5	0	1	429	781	353	0	765
ZymoMock_34266	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_34357	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_34449	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_34508	Salmonella_enterica	99.068	429	4	0	1	429	781	353	0	771
ZymoMock_34514	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_34590	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_34806	Enterococcus_faecalis	99.301	429	3	0	1	429	802	374	0	776
ZymoMock_34910	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_34935	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_35385	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_35471	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_35486	Staphylococcus_aureus	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_35983	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_36009	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_36072	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_36124	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_36204	Staphylococcus_aureus	99.767	429	0	1	1	428	794	366	0	785
ZymoMock_36219	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_36375	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_36436	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_36491	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_36523	Salmonella_enterica	99.534	429	2	0	1	429	781	353	0	782
ZymoMock_36836	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_36970	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_37039	Staphylococcus_aureus	99.068	429	4	0	1	429	794	366	0	771
ZymoMock_37066	Escherichia_coli	99.767	429	1	0	1	429	786	358	0	787
ZymoMock_37147	Enterococcus_faecalis	98.601	429	6	0	1	429	802	374	0	760
ZymoMock_37468	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_37642	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_37960	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_37982	Bacillus_subtilis	99.302	430	3	0	1	430	794	365	0	778
ZymoMock_38053	Salmonella_enterica	100	429	0	0	1	429	781	353	0	793
ZymoMock_38260	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_38300	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_37422	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_38582	Listeria_monocytogenes	98.214	448	8	0	2	449	813	366	0	784
ZymoMock_38840	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_38853	Bacillus_subtilis	99.111	450	3	1	1	449	814	365	0	808
ZymoMock_38972	Staphylococcus_aureus	99.068	429	4	0	1	429	794	366	0	771
ZymoMock_39356	Pseudomonas_aeruginosa	97.203	429	12	0	1	429	771	343	0	726
ZymoMock_39386	Escherichia_coli	98.368	429	7	0	1	429	786	358	0	754
ZymoMock_39420	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_39446	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_39475	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_39483	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_39628	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_39663	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_39735	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_39732	Staphylococcus_aureus	99.068	429	4	0	1	429	794	366	0	771
ZymoMock_39769	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_39837	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_40053	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_40266	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_40272	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_40342	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_40354	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_40536	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_40619	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_40621	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_40744	Salmonella_enterica	99.767	429	1	0	1	429	781	353	0	787
ZymoMock_41012	Enterococcus_faecalis	99.301	429	3	0	1	429	802	374	0	776
ZymoMock_41048	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_41060	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_41158	Listeria_monocytogenes	99.109	449	4	0	1	449	794	346	0	808
ZymoMock_41291	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_41372	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_41407	Bacillus_subtilis	99.333	450	2	1	1	449	814	365	0	813
ZymoMock_41460	Bacillus_subtilis	99.302	430	3	0	1	430	794	365	0	778
ZymoMock_41735	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_41998	Enterococcus_faecalis	98.834	429	5	0	1	429	802	374	0	765
ZymoMock_42082	Enterococcus_faecalis	99.301	429	3	0	1	429	802	374	0	776
ZymoMock_42092	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_42249	Staphylococcus_aureus	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_42293	Bacillus_subtilis	100	430	0	0	1	430	794	365	0	795
ZymoMock_42321	Enterococcus_faecalis	99.068	429	4	0	1	429	802	374	0	771
ZymoMock_42369	Lactobacillus_fermentum	98.135	429	8	0	1	429	812	384	0	749
ZymoMock_42379	Listeria_monocytogenes	99.555	449	0	2	1	447	794	346	0	817
ZymoMock_42450	Listeria_monocytogenes	99.332	449	3	0	1	449	794	346	0	813
ZymoMock_42945	Salmonella_enterica	99.767	429	1	0	1	429	781	353	0	787
ZymoMock_43028	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_43399	Enterococcus_faecalis	99.301	429	3	0	1	429	802	374	0	776
ZymoMock_43552	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_43742	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_44131	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_44230	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_44513	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_44557	Staphylococcus_aureus	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_44757	Enterococcus_faecalis	98.834	429	5	0	1	429	802	374	0	765
ZymoMock_44758	Pseudomonas_aeruginosa	99.301	429	3	0	1	429	771	343	0	776
ZymoMock_44929	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_45216	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_45296	Enterococcus_faecalis	100	429	0	0	1	429	802	374	0	793
ZymoMock_45346	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_45352	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_45377	Escherichia_coli	99.068	429	4	0	1	429	786	358	0	771
ZymoMock_45378	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_45521	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_45675	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_45944	Enterococcus_faecalis	99.301	429	3	0	1	429	802	374	0	776
ZymoMock_45996	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_46092	Staphylococcus_aureus	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_46316	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_46524	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_46578	Staphylococcus_aureus	100	429	0	0	1	429	794	366	0	793
ZymoMock_46766	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_47101	Listeria_monocytogenes	99.534	429	2	0	1	429	794	366	0	782
ZymoMock_47208	Staphylococcus_aureus	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_47224	Pseudomonas_aeruginosa	98.664	449	6	0	1	449	791	343	0	797
ZymoMock_47370	Enterococcus_faecalis	99.068	429	4	0	1	429	802	374	0	771
ZymoMock_47539	Staphylococcus_aureus	98.601	429	6	0	1	429	794	366	0	760
ZymoMock_47770	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_47771	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
ZymoMock_47940	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_48010	Pseudomonas_aeruginosa	99.534	429	2	0	1	429	771	343	0	782
ZymoMock_48043	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_48116	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_48131	Listeria_monocytogenes	99.301	429	3	0	1	429	794	366	0	776
ZymoMock_48247	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_48315	Bacillus_subtilis	99.767	430	1	0	1	430	794	365	0	789
ZymoMock_48360	Bacillus_subtilis	99.535	430	2	0	1	430	794	365	0	784
ZymoMock_48511	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_48576	Listeria_monocytogenes	100	429	0	0	1	429	794	366	0	793
ZymoMock_48570	Escherichia_coli	99.301	429	3	0	1	429	786	358	0	776
ZymoMock_48626	Enterococcus_faecalis	99.767	429	1	0	1	429	802	374	0	787
ZymoMock_48885	Listeria_monocytogenes	99.767	429	1	0	1	429	794	366	0	787
ZymoMock_49345	Enterococcus_faecalis	99.534	429	2	0	1	429	802	374	0	782
